containers,ram_limit,total_time,total_image_proc_time,ndvi_calc_time,read_time,write_time
4,1.5,64.12998151779175,39.04604411125183,10.199280261993408,2.932971102850778,4.480465412139893
9,1.5,67.3864598274231,37.2838500227247,13.297065956251961,9.8552234683718,6.709410071372986
1,1.5,230.41473174095154,125.01853469439915,11.51719319820404,1.780325906617301,3.1495339700153897
2,1.5,114.30619692802429,58.41477983338492,9.583481992994036,2.1055074078696117,3.602921485900879
3,1.5,82.95027422904968,45.346838457243784,9.49534625666482,2.081094401223319,3.8762209245136807
4,1.5,75.97700452804565,38.65160201277052,10.701463154384069,2.884156823158264,4.4149559906550815
5,1.5,71.30175590515137,37.83153195040567,12.108535051345825,3.4842978545597623,5.027613571711949
6,1.5,60.176408529281616,35.14737444264548,12.92799712930407,3.6894326550619945,5.574008243424552
7,1.5,90.91221737861633,49.476895979472566,12.016454832894462,5.238925388881138,22.97323395524706
1,1.5,217.61106824874878,114.11459990910122,10.304787056786674,2.0421050105776106,3.1870919466018677
2,1.5,129.06382822990417,66.49378274168286,11.614490236554827,2.261271153177534,3.6555186680385043
3,1.5,94.7620701789856,47.21451733793531,10.18760359287262,2.2887446539742604,3.8145413058144704
4,1.5,83.15377354621887,41.28389585018158,10.46754172870091,3.116907920156206,4.409941009112766
5,1.5,67.56064367294312,36.55636705671038,11.624275837625776,3.1074136325291226,5.463092020579746
6,1.5,63.81395125389099,35.57404759952,12.857787319592067,3.7002668380737305,5.089591486113412
7,1.5,97.89509129524231,53.03205030305045,13.233017121042524,6.60662487574986,23.613827926771982
8,1.5,96.37840270996094,61.07264855929783,12.444594843047005,15.20634777205331,17.888965027672903
9,1.5,78.53283715248108,41.69898785863604,12.613121696880885,11.308104719434466,9.281747136797224
10,1.5,83.28113341331482,40.89071004731314,13.771371160234724,9.65938767365047,9.551683494022914
11,1.5,134.49974489212036,94.55860200950077,12.213088376181465,13.419582843780518,51.901371819632395
12,1.5,96.36595797538757,51.18597708429609,15.119931714875358,5.013182146208627,24.66528570652008
13,1.5,103.57706785202026,59.486842138426645,22.409007702554977,6.892781223569598,25.83691200188228
1,1.5,218.16016101837158,117.74176074777331,10.38697167805263,2.068601761545454,3.1181674684797014
2,1.5,102.55670881271362,55.03753307887486,8.718777094568525,2.0456169162477766,3.505267092159816
3,1.5,98.72970604896545,48.905516845839365,10.32642912864685,2.8694163390568326,4.569638013839722
4,1.5,68.1595389842987,35.61252234663282,9.111937897545952,2.4963922841208324,4.101605687822614
5,1.5,62.92329382896423,35.52175441810063,11.150964770998273,3.551553113119943,5.332939318248203
6,1.5,96.93818879127502,45.336452518190654,10.916157245635986,6.740680881908962,12.161216139793396
7,1.5,95.32461404800415,43.41064185755594,10.138248835291181,10.81375013078962,13.519214187349592
8,1.5,91.01478743553162,46.649847217968535,11.71064761706761,8.977357489722115,17.429416639464243
9,1.5,122.88083791732788,90.36056802953992,11.680254953248161,15.173824497631617,39.65854328019278
10,1.5,84.57078242301941,43.86153187070574,12.96752381324768,11.073181731360298,11.391245927129473
11,1.5,146.69782090187073,90.210815514837,9.767572045326233,33.879158224378315,40.732319951057434
12,1.5,103.42965030670166,58.30231966291155,22.331191812242782,11.81953499998365,19.64883041381836
13,1.5,94.67611837387085,55.53421083518437,16.134165116718837,7.0470780645098,28.652275460106985
